idx,n_pred,n_gt,cd_sym,cd_p2g,cd_g2p,icp_fit,icp_rmse
00,4707,25218,0.2034793867606493,0.12968282377147447,0.27727594974982417,0.8910133843212237,0.19996791204018807
01,4553,26275,0.13109166778202802,0.08107110899655144,0.1811122265675046,0.9457500549088513,0.22288900193813374
02,7046,32538,0.13544140361213625,0.11294409492909693,0.15793871229517553,0.893556627873971,0.22238283447786733
03,5473,21901,0.3011280535592812,0.08877935142423192,0.5134767556943305,0.9079115658688105,0.21603864092150837
04,5357,24220,0.369003940998604,0.09739884196822858,0.6406090400289794,0.9326115363076348,0.2592438165573707
05,4824,25535,0.14205840068927872,0.06879137982255239,0.21532542155600506,0.9643449419568823,0.21005687630735223
06,5645,18905,0.19474100890642687,0.09617482760843522,0.29330719020441853,0.9296722763507529,0.23569143700372505
07,6234,40216,0.34433908576177413,0.19997726763562235,0.4887009038879259,0.8740776387552134,0.15858636201512022
08,4639,23084,0.442447205820779,0.47464501396696746,0.41024939767459057,0.8090105626212546,0.2248411672400305
09,4992,19370,0.3382355964618473,0.23603459323771056,0.44043659968598403,0.8419471153846154,0.2233138648955456
10,6717,32016,0.4149641318174243,0.15641398362163722,0.6735142800132115,0.8945958016971862,0.20508816387714615
11,4247,13620,0.16543780558660498,0.11520523774228275,0.2156703734309272,0.911937838474217,0.21192519505942028
12,5631,30219,0.09394031341287572,0.05480365432012876,0.13307697250562267,0.9556029124489434,0.18598752994826678
13,5247,18386,0.3794350553038879,0.09885424399521316,0.6600158666125626,0.9220506956356013,0.20131883765330238
14,5870,33307,0.20493337532248843,0.15327020561935695,0.2565965450256199,0.858603066439523,0.2574655009361812
15,6254,15387,0.21349310482252376,0.1969733540225343,0.2300128556225132,0.889350815478094,0.2000666268286803
16,4831,21755,0.1774158207580861,0.15904849532354529,0.19578314619262688,0.9172014075760712,0.19508312291611765
17,5671,55406,0.22364547483856384,0.1385333306943726,0.3087576189827551,0.8866161170869336,0.2234608901521403
18,6295,28250,0.25838114043046856,0.1752763670250469,0.3414859138358902,0.8827640984908658,0.21356733237430722
19,6283,28671,0.28960749602857816,0.199195148009712,0.38001984404744427,0.8578704440553876,0.20817723223578788
