idx,n_gt,n_lgm,cd_lgm_p2g,cd_lgm_sym,cd_lgm_g2p,n_sf3d,cd_sf3d_p2g,cd_sf3d_sym,cd_sf3d_g2p
00,25218,30068,0.08189179525449888,0.1007054697980693,0.11951914434163972,50000,0.09964971676338746,0.3845733668408202,0.669497016918253
01,26275,25290,0.2572146908200722,0.20212129802025314,0.14702790522043407,50000,0.26413118501285904,0.6313598528498068,0.9985885206867545
02,32538,36252,0.3762923818205688,0.23734196630302687,0.09839155078548496,50000,0.2882020684384885,0.7675330748251711,1.2468640812118537
03,21901,41458,0.28079555185995697,0.21991930681153674,0.1590430617631165,50000,0.1972024006022686,0.3502263588078084,0.5032503170133482
04,24220,34754,0.7832935054486884,0.4557935139036808,0.12829352235867317,50000,0.1651924504965901,0.21559748705507656,0.266002523613563
05,25535,36640,0.2665950906518389,0.23889367258226357,0.21119225451268822,50000,0.15837645166403733,0.34663394933079766,0.534891446997558
06,18905,25174,0.28714212349416945,0.22154060129460382,0.15593907909503818,50000,0.14231431499889374,0.8281716006711184,1.514028886343343
07,40216,20163,0.16987576606119653,0.2165131560840167,0.26315054610683686,50000,0.1724871864527951,0.6462304083402658,1.1199736302277365
08,23084,14164,1.0014942144044559,0.6188096091736871,0.23612500394291827,50000,0.47685517341147243,0.39405136867832247,0.31124756394517256
09,19370,20733,0.36880966732975,0.3366438491956745,0.30447803106159904,50000,0.1705463149620532,0.3383649407998407,0.5061835666376282
10,32016,24026,1.9993590787672613,1.0962413349427924,0.19312359111832347,50000,0.4129426350807589,0.33900517215952497,0.2650677092382911
11,13620,21614,0.31914829677774376,0.2276176948050415,0.13608709283233922,50000,0.33509065481635175,0.5983266712812914,0.8615626877462309
12,30219,24259,0.0396127498798121,0.2601414946954747,0.4806702395111373,50000,0.09304493690745931,0.23634395998689672,0.37964298306633415
13,18386,20017,1.0731026383519917,0.6617800110311468,0.25045738371030185,50000,0.7871581103153293,0.5770518792617647,0.3669456482082001
14,33307,31695,0.07910256827398071,0.06935042428409065,0.059598280294200584,50000,0.27919129656238106,0.8616218967893736,1.4440524970163662
15,15387,19162,0.5489599504031097,0.5765787540424838,0.6041975576818579,50000,0.2631743982264037,0.29851440732416024,0.33385441642191677
16,21755,28425,0.08202466550248191,0.11051232000132497,0.13899997450016802,50000,0.15178604676061536,0.7006177228706939,1.2494493989807725
17,55406,23022,0.29513765557031485,0.2887965036968406,0.2824553518233664,50000,0.14223833219338874,0.5124732495761454,0.882708166958902
18,28250,22296,1.2003437431589616,0.7249341959944974,0.24952464883003317,50000,0.5504147167106417,0.4671651166292591,0.38391551654787653
19,28671,24550,0.3094460022227626,0.27130001652595914,0.23315403082915573,50000,0.2029480123451428,0.6448687673703365,1.0867895223955302
