obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.016556070482104238,0.00018598967145041871,0.032926151292758055,0.99958
1c1a3dc04b6f1f8fd8162cce87567b4,0.007242495721250935,0.000691611965460672,0.013793379477041198,0.96136
1d4b2404a00ef4bb627014ff98c41eb1,0.06262517764763245,0.000388755959794322,0.12486159933547059,0.99806
1e17510abe8f98bea697d949e28d773c,0.0038998881565355777,0.0030146677916628533,0.004785108521408302,0.79416
21a1f2a7b7e671826405999d829064fa,0.0062324967064291,0.0006742370029195088,0.01179075640993869,0.97494
24b9180ac3f89ba4715e04edb8af9c53,0.0006685237896501533,0.0005631822949217888,0.0007738652843785179,1.0
27645458fec3d7ed514e3d96995c555d,0.007299585553880609,0.0008123535525590553,0.013786817555202162,0.99092
28bdade3806ef2f328044fe9244db50a,0.0030356710452679385,0.00042678836720361565,0.005644553723332261,0.97808
2fcec17ab09a42782a9eb0f146e94477,0.022416249367214296,0.0012879977558887348,0.04354450097853986,0.8952
30f96aa701d4e088becf71e2e014ff6f,0.013038749524350707,0.013158331286253894,0.01291916776244752,0.5714
3e37a76f38d057cd3f823401cb5b3c88,0.0031777014329747036,0.0031299164002776816,0.0032254864656717256,0.7621
40313368870df2c0df59ad08996c77e8,0.014149767605082646,0.0017157455452551122,0.02658378966491018,0.87416
48debbfd63725a743978555bf44cfc9a,0.002357441418693606,0.002037295476180282,0.0026775873612069298,0.82048
504e8dbdccd8beea7e488037e176d2f0,0.009275667089005615,0.00041675008884202696,0.018134584089169202,0.99234
51eb6c713070607db9cc180a886c1254,0.0024178988005983536,0.0014399820424299426,0.0033958155587667646,0.8645
6bb14c1083ed44f5ac34b841f2070767,0.0027250419457266893,0.004009634487674612,0.0014404494037787662,0.74208
6ee1f28244a72fcadad3ef3f3ebed150,0.006042166745664415,0.0014991827649092888,0.01058515072641954,0.88184
75221b7668e145b549415f1fb7067088,0.0316448372861046,0.006514660752124071,0.056775013820085124,0.96398
781b45d3eb625148248a78e10a40d8eb,0.03300844975129942,0.0006133692818907472,0.06540353022070809,0.98942
7d4c3d9795570647657231d17e42d06f,0.01314327703526916,0.000552628841883935,0.025733925228654385,0.99504
83cbe72c4b5e9268ec89747d864c8515,0.010887799383144485,0.0022364482206561082,0.01953915054563286,0.85112
96762f5d7f7e93343f9daeef6b843610,0.0029084164085158883,0.0028261169493466586,0.0029907158676851175,0.79008
99efa2111f3be22d5fcb05674109534a,0.013267683770421913,0.002382709206559674,0.024152658334284153,0.80328
9f703e578b4b36295b74572d48ff6382,0.0038942206247318876,0.0009067387965511923,0.006881702452912583,0.9893
a5476137d0f2f930425b2c354eccabaf,0.006644190252092981,0.0015656705892716004,0.011722709914914363,0.96938
