obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.003933634165322859,0.0018324315584724794,0.0060348367721732386,0.87586
1c1a3dc04b6f1f8fd8162cce87567b4,0.006253997245500786,0.003603813545244571,0.008904180945757002,0.84758
1d4b2404a00ef4bb627014ff98c41eb1,0.003295772247539488,0.003454188374910261,0.003137356120168715,0.721
1e17510abe8f98bea697d949e28d773c,0.014572781851945377,0.0033283076830616857,0.025817256020829068,0.76062
21a1f2a7b7e671826405999d829064fa,0.012566079669809861,0.0036260082187751477,0.021506151120844575,0.82658
24b9180ac3f89ba4715e04edb8af9c53,0.0009547136650012119,0.001717516065374892,0.0001919112646275317,0.86004
27645458fec3d7ed514e3d96995c555d,0.008231086726912145,0.006692853600872793,0.009769319852951498,0.72462
28bdade3806ef2f328044fe9244db50a,0.003968000095458037,0.004152766662695887,0.0037832335282201863,0.7428
2fcec17ab09a42782a9eb0f146e94477,0.003361532559783229,0.0035632557232326864,0.0031598093963337713,0.6759
30f96aa701d4e088becf71e2e014ff6f,0.004463775890871152,0.0021661038138222764,0.0067614479679200265,0.86618
3e37a76f38d057cd3f823401cb5b3c88,0.007971266224403662,0.009330683585128395,0.006611848863678929,0.55686
40313368870df2c0df59ad08996c77e8,0.0035421763863216172,0.004090638235111935,0.0029937145375312996,0.65192
48debbfd63725a743978555bf44cfc9a,0.0034776479853955945,0.0024504466935532754,0.004504849277237914,0.86766
504e8dbdccd8beea7e488037e176d2f0,0.005521127267650528,0.009357239978638552,0.001685014556662504,0.57934
51eb6c713070607db9cc180a886c1254,0.004938654517745333,0.008296940293913696,0.0015803687415769704,0.67198
6bb14c1083ed44f5ac34b841f2070767,0.00867541299397594,0.007081600491217808,0.01026922549673407,0.6272
6ee1f28244a72fcadad3ef3f3ebed150,0.023949032945041453,0.009368008432304375,0.03853005745777853,0.76274
75221b7668e145b549415f1fb7067088,0.013045535635498394,0.017420091192392538,0.008670980078604252,0.38408
781b45d3eb625148248a78e10a40d8eb,0.007992202490583388,0.013341479804693475,0.002642925176473302,0.3956
7d4c3d9795570647657231d17e42d06f,0.005562066816948,0.0070449288922294715,0.004079204741666527,0.65254
83cbe72c4b5e9268ec89747d864c8515,0.0056216625398787645,0.005945977927986,0.005297347151771528,0.64926
96762f5d7f7e93343f9daeef6b843610,0.018904311285199236,0.003754377317792061,0.03405424525260641,0.76326
99efa2111f3be22d5fcb05674109534a,0.006383188288878242,0.006680754852432086,0.006085621725324397,0.51942
9f703e578b4b36295b74572d48ff6382,0.00580517067985812,0.01068762159093634,0.0009227197687799004,0.55606
a5476137d0f2f930425b2c354eccabaf,0.003484124234004341,0.004903121521825845,0.002065126946182837,0.7929
