obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.01312749420294324,0.0002472813790047665,0.026007707026881714,0.9975
1c1a3dc04b6f1f8fd8162cce87567b4,0.01805728128980994,0.00042542689382866334,0.03568913568579122,0.99106
1d4b2404a00ef4bb627014ff98c41eb1,0.00044008745184226394,0.0002961298813519945,0.0005840450223325334,0.98864
1e17510abe8f98bea697d949e28d773c,0.0013996292597285738,0.0011033543537097032,0.0016959041657474444,0.92044
21a1f2a7b7e671826405999d829064fa,0.0038098968035411686,0.0005908279544959327,0.007028965652586405,0.97816
24b9180ac3f89ba4715e04edb8af9c53,0.000616697272821684,9.930608918610444e-05,0.0011340884564572636,1.0
27645458fec3d7ed514e3d96995c555d,0.0040312387829728,0.0011791229686323784,0.006883354597313221,0.94716
28bdade3806ef2f328044fe9244db50a,0.013054204175958194,0.00020536200789318,0.025903046344023208,0.99978
2fcec17ab09a42782a9eb0f146e94477,0.0011010154215418705,0.0005456075352599526,0.0016564233078237886,0.98902
30f96aa701d4e088becf71e2e014ff6f,0.0012137126288860457,0.0009621313291584466,0.0014652939286136446,0.91552
3e37a76f38d057cd3f823401cb5b3c88,0.042126599885245614,0.0011003355087325557,0.08315286426175868,0.91782
40313368870df2c0df59ad08996c77e8,0.010448427059439356,0.001664258829999623,0.01923259528887909,0.87116
48debbfd63725a743978555bf44cfc9a,0.0024981279232992055,0.0006737376146998506,0.00432251823189856,0.97656
504e8dbdccd8beea7e488037e176d2f0,0.003706403273168951,0.0024062505282479085,0.005006556018089994,0.80928
51eb6c713070607db9cc180a886c1254,0.020470727245272366,0.00039380951524460274,0.040547644975300126,0.99764
6bb14c1083ed44f5ac34b841f2070767,0.029917758108832338,0.0001960867801483448,0.05963942943751633,0.9976
6ee1f28244a72fcadad3ef3f3ebed150,0.015405393493659464,0.0013313935153832352,0.02947939347193569,0.8856
75221b7668e145b549415f1fb7067088,0.0068738287703028885,0.011555705252079924,0.0021919522885258534,0.46034
781b45d3eb625148248a78e10a40d8eb,0.003637223565818724,0.0008366542832094779,0.006437792848427971,0.99436
7d4c3d9795570647657231d17e42d06f,0.013104548818462305,0.000802205242479062,0.02540689239444555,0.97948
83cbe72c4b5e9268ec89747d864c8515,0.023452134930543576,0.0013693713718091103,0.04553489848927804,0.89734
96762f5d7f7e93343f9daeef6b843610,0.0022869736113926096,0.0010428255087390355,0.0035311217140461836,0.92408
99efa2111f3be22d5fcb05674109534a,0.06378572951781267,0.005944767151074621,0.1216266918845507,0.7409
9f703e578b4b36295b74572d48ff6382,0.005508769944177506,0.008166227551070278,0.002851312337284735,0.5883
a5476137d0f2f930425b2c354eccabaf,0.01794406078657984,0.0217989558237757,0.014089165749383981,0.43326
