obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.000885237965121142,0.00038781040375681015,0.0013826655264854736,0.99448
1c1a3dc04b6f1f8fd8162cce87567b4,0.0006291130254757642,0.0004058062921326479,0.0008524197588188805,0.9878
1d4b2404a00ef4bb627014ff98c41eb1,0.0008306823475638012,0.0006856488749187609,0.0009757158202088416,0.95572
1e17510abe8f98bea697d949e28d773c,0.0001681432731181659,9.493458606434729e-05,0.00024135196017198454,1.0
21a1f2a7b7e671826405999d829064fa,0.00047451615012255124,0.00030063076727296253,0.0006484015329721399,0.99008
24b9180ac3f89ba4715e04edb8af9c53,0.00025126726490041606,0.0001624620465189725,0.0003400724832818596,1.0
27645458fec3d7ed514e3d96995c555d,0.000932662511340535,0.0004375404090926735,0.0014277846135883965,0.9944
28bdade3806ef2f328044fe9244db50a,0.0005175247812642557,0.0003762929787116413,0.0006587565838168699,0.96986
2fcec17ab09a42782a9eb0f146e94477,0.00014392585852107196,0.00010985039667593854,0.00017800132036620539,1.0
30f96aa701d4e088becf71e2e014ff6f,0.0006008653152714045,0.0003465758221796186,0.0008551548083631904,0.99006
3e37a76f38d057cd3f823401cb5b3c88,0.00119691956401174,0.0017463699237865006,0.000647469204236979,0.88954
40313368870df2c0df59ad08996c77e8,0.0015938374359542639,0.0010175106127549862,0.0021701642591535415,0.94432
48debbfd63725a743978555bf44cfc9a,0.002002010413672027,0.0015902602257887517,0.0024137606015553026,0.8708
504e8dbdccd8beea7e488037e176d2f0,0.0009383351049872046,0.0005668666129785462,0.001309803596995863,0.99244
51eb6c713070607db9cc180a886c1254,0.006779879968262254,0.007276398341169402,0.006283361595355107,0.65156
6bb14c1083ed44f5ac34b841f2070767,0.0023813195290015433,0.00238789039372741,0.0023747486642756764,0.8313
6ee1f28244a72fcadad3ef3f3ebed150,0.00011176481466041203,8.429707523340983e-05,0.00013923255408741423,1.0
75221b7668e145b549415f1fb7067088,0.0004543364050809786,0.00025824598591868414,0.000650426824243273,1.0
781b45d3eb625148248a78e10a40d8eb,9.635738256209931e-05,7.1109731171168e-05,0.0001216050339530306,1.0
7d4c3d9795570647657231d17e42d06f,0.0012529977937231582,0.0009257646457473968,0.0015802309416989195,0.9089
83cbe72c4b5e9268ec89747d864c8515,0.00023276540557322242,0.00012138874416937636,0.0003441420669770685,1.0
96762f5d7f7e93343f9daeef6b843610,0.0007601567215641885,0.0006117945457091686,0.0009085188974192085,0.98122
99efa2111f3be22d5fcb05674109534a,0.0011514296110274886,0.001619672074142813,0.0006831871479121643,0.89168
9f703e578b4b36295b74572d48ff6382,0.0006083936507487642,0.0003258801672699936,0.0008909071342275348,0.9976
a5476137d0f2f930425b2c354eccabaf,0.0007512149953844903,0.0003897723098455229,0.0011126576809234576,0.99806
