obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.0023824175600712072,0.002424544123409482,0.0023402909967329324,0.81232
1c1a3dc04b6f1f8fd8162cce87567b4,0.0027047838842580328,0.0011540447593339647,0.004255523009182101,0.9175
1d4b2404a00ef4bb627014ff98c41eb1,0.000932218920358588,0.0008162051320143059,0.0010482327087028701,0.93772
1e17510abe8f98bea697d949e28d773c,0.0024508939109560393,0.001108373506404837,0.0037934143155072416,0.91102
21a1f2a7b7e671826405999d829064fa,0.0056535194175492375,0.0029575455243157746,0.008349493310782701,0.83528
24b9180ac3f89ba4715e04edb8af9c53,0.000444122828135338,0.0004017096064993568,0.00048653604977131926,1.0
27645458fec3d7ed514e3d96995c555d,0.004476055843068378,0.002778701748422659,0.006173409937714096,0.84848
28bdade3806ef2f328044fe9244db50a,0.001542871820131189,0.0007429778500609236,0.0023427657902014543,0.93836
2fcec17ab09a42782a9eb0f146e94477,0.023428923771732224,0.017086499201860346,0.029771348341604102,0.41414
30f96aa701d4e088becf71e2e014ff6f,0.0009745410732659235,0.0006996193098601094,0.0012494628366717375,0.94566
3e37a76f38d057cd3f823401cb5b3c88,0.0020905542162095465,0.001763757707571242,0.0024173507248478514,0.8808
40313368870df2c0df59ad08996c77e8,0.0028052389353593384,0.001584739536443439,0.004025738334275238,0.86426
48debbfd63725a743978555bf44cfc9a,0.004088607741671891,0.0013181559918727182,0.006859059491471063,0.89346
504e8dbdccd8beea7e488037e176d2f0,0.0018809452475012807,0.0006173264016256048,0.0031445640933769566,0.97734
51eb6c713070607db9cc180a886c1254,0.0007381560014672789,0.0003216928700597338,0.001154619132874824,0.98898
6bb14c1083ed44f5ac34b841f2070767,0.010392365274322128,0.01325860693039421,0.0075261236182500475,0.54466
6ee1f28244a72fcadad3ef3f3ebed150,0.005492191096953054,0.0015137758587491113,0.009470606335156995,0.86866
781b45d3eb625148248a78e10a40d8eb,0.00012817335735084898,0.0001191637435859729,0.00013718297111572507,1.0
7d4c3d9795570647657231d17e42d06f,0.002693009746075023,0.0014499498121435114,0.003936069680006535,0.8909
83cbe72c4b5e9268ec89747d864c8515,0.0004166042706816129,0.00032565955315823033,0.0005075489882049955,0.99814
96762f5d7f7e93343f9daeef6b843610,0.0013973240158351948,0.001044491707500639,0.0017501563241697508,0.9265
99efa2111f3be22d5fcb05674109534a,0.0012699871945468838,0.0015536278050142377,0.0009863465840795299,0.88092
9f703e578b4b36295b74572d48ff6382,0.0008608815934123589,0.0004637052875599676,0.0012580578992647503,0.99162
a5476137d0f2f930425b2c354eccabaf,0.008646380062028211,0.007550171984190918,0.009742588139865503,0.7812
