obj,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit
1ae184691a39e3d3e0e8bce75d28b114,0.010359740988405346,0.0006657998097139138,0.02005368216709678,0.98562
1c1a3dc04b6f1f8fd8162cce87567b4,0.008937785808105878,0.0014220074177760732,0.01645356419843568,0.95134
1d4b2404a00ef4bb627014ff98c41eb1,0.0005805437124352896,0.00035027359814403773,0.0008108138267265415,0.98434
1e17510abe8f98bea697d949e28d773c,0.046310516279951065,0.0026053435090101157,0.09001568905089201,0.80138
21a1f2a7b7e671826405999d829064fa,0.010183424807191008,0.0008251173850395355,0.01954173222934248,0.95716
24b9180ac3f89ba4715e04edb8af9c53,0.002747652105851917,0.00013186392104651292,0.005363440290657321,0.99844
27645458fec3d7ed514e3d96995c555d,0.004604726933652069,0.0017500072228292017,0.007459446644474937,0.83304
28bdade3806ef2f328044fe9244db50a,0.010764248549298442,0.0006309726031021801,0.020897524495494705,0.97788
2fcec17ab09a42782a9eb0f146e94477,0.00855561787730947,0.0017752159260694617,0.015336019828549478,0.8493
30f96aa701d4e088becf71e2e014ff6f,0.0011106441326779247,0.0009570214431366259,0.0012642668222192233,0.91258
3e37a76f38d057cd3f823401cb5b3c88,0.003670680118056666,0.004921016724446379,0.0024203435116669524,0.68124
40313368870df2c0df59ad08996c77e8,0.012109517042690615,0.001757946075567836,0.022461088009813394,0.84868
48debbfd63725a743978555bf44cfc9a,0.013562059181098833,0.0006017786508331454,0.026522339711364522,0.99266
504e8dbdccd8beea7e488037e176d2f0,0.005713316451451331,0.000722240298317778,0.010704392604584884,0.99694
51eb6c713070607db9cc180a886c1254,0.00606365124153697,0.0006841614370188893,0.01144314104605505,0.98614
6bb14c1083ed44f5ac34b841f2070767,0.010342188041888781,0.018272013490477922,0.002412362593299641,0.4865
6ee1f28244a72fcadad3ef3f3ebed150,0.007061803450177074,0.001990085547589235,0.012133521352764912,0.8302
75221b7668e145b549415f1fb7067088,0.002860718760635746,0.0013555631363018751,0.0043658743849696174,0.88542
781b45d3eb625148248a78e10a40d8eb,0.005435946946414425,0.0004027882956144304,0.01046910559721442,0.99574
7d4c3d9795570647657231d17e42d06f,0.007415575972599802,0.0004773880923845751,0.014353763852815029,0.9956
83cbe72c4b5e9268ec89747d864c8515,0.023184879851352737,0.002899678676235964,0.04347008102646951,0.91852
96762f5d7f7e93343f9daeef6b843610,0.0068879943434578105,0.0009642429964763595,0.01281174569043926,0.92898
99efa2111f3be22d5fcb05674109534a,0.001401245852564515,0.0018765043510489536,0.0009259873540800765,0.84612
9f703e578b4b36295b74572d48ff6382,0.002874214557435533,0.0001914166798680715,0.005557012435002995,0.99674
a5476137d0f2f930425b2c354eccabaf,0.003236669408688369,0.0002147826160591857,0.006258556201317552,0.99898
