arm,removes,psnr,psnr_se,dpsnr_paired,dpsnr_se,ssim,lpips,n
b0_control,-,15.7892,0.5979,0.0000,0.0000,0.6666,0.2738,18
no_depth,L_depth,16.1356,0.5725,0.3464,0.4407,0.6785,0.2639,18
no_latent_prior,L_prior,16.0277,0.5078,0.2385,0.3794,0.6661,0.2729,18
no_lpips,L_LPIPS,15.0988,0.3313,-0.6904,0.5767,0.5883,0.3437,18
no_mse,L_MSE,15.2857,0.4757,-0.5035,0.3589,0.6644,0.2717,18
no_latent_opt,latent-code optimization,14.1031,0.2922,-1.6861,0.5031,0.6144,0.3377,18
no_pose_opt,rendering-param optimization,14.2815,0.5095,-1.5077,0.4827,0.6024,0.3448,18
