idx,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit,n_pred,n_gt
00,0.10929262490090882,0.055047090913543664,0.163538158888274,0.97236,50000,25218
01,0.12557832215789333,0.05618997871772495,0.1949666655980617,0.98764,50000,26275
02,0.16518154799715967,0.16177182363121423,0.16859127236310514,0.9173,50000,32538
03,0.05305573515780563,0.04068266435656437,0.06542880595904689,0.98344,50000,21901
04,0.143572379202842,0.20222678153097895,0.08491797687470502,0.83466,50000,24220
05,0.12119289662593628,0.09468507417270708,0.1477007190791655,0.93816,50000,25535
06,0.12689977156076965,0.10614578259541559,0.1476537605261237,0.92542,50000,18905
07,0.08441697095560424,0.04263096974224295,0.12620297216896553,0.98024,50000,40216
08,0.12549657725578955,0.08256919440657993,0.16842396010499916,0.96926,50000,23084
09,0.1419174191081421,0.17175723562782738,0.11207760258845682,0.8904,50000,19370
10,0.08108821863289616,0.05802022274513122,0.1041562145206611,0.97408,50000,32016
11,0.19938695169803256,0.07315769750829168,0.32561620588777346,0.97298,50000,13620
12,0.07169963148896867,0.07777715029306667,0.06562211268487067,0.95276,50000,30219
13,0.17777651406479478,0.11721064453366138,0.2383423835959282,0.91786,50000,18386
14,0.08720641599812416,0.06380094727848093,0.1106118847177674,0.97204,50000,33307
15,0.11258797501278914,0.0895781582035773,0.13559779182200096,0.93988,50000,15387
16,0.07877052458544828,0.08738402250940111,0.07015702666149544,0.95142,50000,21755
17,0.06902404261915354,0.06684288877623547,0.0712051964620716,0.9667,50000,55406
18,0.0797849413132737,0.07907792017657814,0.08049196244996926,0.95546,50000,28250
19,0.09166515282221456,0.039392791776906466,0.14393751386752265,0.9943,50000,28671
