idx,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit,n_pred,n_gt
00,0.2960026163254009,0.2858321206820267,0.3061731119687752,0.838,50000,25218
01,0.14360467132736104,0.03727189612942531,0.24993744652529679,0.99664,50000,26275
02,0.22117880542843293,0.035189306152410386,0.4071683047044555,0.99484,50000,32538
03,0.14764161279191032,0.029756867315545745,0.2655263582682749,0.99956,50000,21901
04,0.1851338454457708,0.07353515692506836,0.29673253396647326,0.96732,50000,24220
05,0.18550936884380614,0.12402204103779749,0.24699669664981477,0.91786,50000,25535
06,0.4444651624565094,0.03391451599949848,0.8550158089135204,0.99942,50000,18905
07,0.2531670247529597,0.055395229187524195,0.4509388203183952,0.9561,50000,40216
08,0.49660647613594266,0.015570441236660465,0.9776425110352248,0.99764,50000,23084
09,0.152161839887961,0.10613906503366476,0.19818461474225726,0.90574,50000,19370
10,0.530005911548836,0.025026021473224226,1.0349858016244478,0.9976,50000,32016
11,0.22620715587815468,0.051264613494877924,0.40114969826143143,0.99848,50000,13620
12,0.37439640398860247,0.057060426693299485,0.6917323812839055,0.96648,50000,30219
13,0.7722459328131506,0.9912553905130437,0.5532364751132576,0.5892,50000,18386
14,0.203104141832839,0.06441616830288549,0.3417921153627925,0.98002,50000,33307
15,0.1693345717790155,0.06157966785199722,0.2770894757060338,0.989,50000,15387
16,0.3726445890300516,0.05711496072660957,0.6881742173334936,0.98816,50000,21755
17,0.10734904033038012,0.04578311962739621,0.16891496103336404,0.99646,50000,55406
18,0.24451220671779184,0.2555127596731765,0.2335116537624072,0.8185,50000,28250
19,0.664150603448326,0.9795227076376353,0.34877849925901666,0.69948,50000,28671
